"060","MDC 01","M","MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC","0","\N"
"061","MDC 01","M","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC","0","\N"
"062","MDC 01","M","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC","0","\N"
"063","MDC 01","M","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC","0","\N"
"064","MDC 01","M","INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC","0","\N"
"065","MDC 01","M","INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS","0","\N"
"066","MDC 01","M","INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC","0","\N"
"067","MDC 01","M","NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC","0","\N"
"068","MDC 01","M","NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC","0","\N"
"069","MDC 01","M","TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC","0","\N"
"070","MDC 01","M","NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC","0","\N"
"071","MDC 01","M","NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC","0","\N"
"072","MDC 01","M","NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC","0","\N"
"073","MDC 01","M","CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC","0","\N"
"074","MDC 01","M","CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC","0","\N"
"075","MDC 01","M","VIRAL MENINGITIS WITH CC/MCC","0","\N"
"076","MDC 01","M","VIRAL MENINGITIS WITHOUT CC/MCC","0","\N"
"077","MDC 01","M","HYPERTENSIVE ENCEPHALOPATHY WITH MCC","0","\N"
"078","MDC 01","M","HYPERTENSIVE ENCEPHALOPATHY WITH CC","0","\N"
"079","MDC 01","M","HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC","0","\N"
"080","MDC 01","M","NONTRAUMATIC STUPOR AND COMA WITH MCC","0","\N"
"081","MDC 01","M","NONTRAUMATIC STUPOR AND COMA WITHOUT MCC","0","\N"
"082","MDC 01","M","TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC","0","\N"
"083","MDC 01","M","TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC","0","\N"
"084","MDC 01","M","TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC","0","\N"
"085","MDC 01","M","TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC","0","\N"
"086","MDC 01","M","TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC","0","\N"
"087","MDC 01","M","TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC","0","\N"
"088","MDC 01","M","CONCUSSION WITH MCC","0","\N"
"089","MDC 01","M","CONCUSSION WITH CC","0","\N"
"090","MDC 01","M","CONCUSSION WITHOUT CC/MCC","0","\N"
"091","MDC 01","M","OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC","0","\N"
"092","MDC 01","M","OTHER DISORDERS OF NERVOUS SYSTEM WITH CC","0","\N"
"093","MDC 01","M","OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC","0","\N"
"094","MDC 01","M","BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC","0","\N"
"095","MDC 01","M","BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC","0","\N"
"096","MDC 01","M","BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC","0","\N"
"097","MDC 01","M","NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC","0","\N"
"098","MDC 01","M","NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC","0","\N"
"099","MDC 01","M","NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC","0","\N"
"100","MDC 01","M","SEIZURES WITH MCC","0","\N"
"101","MDC 01","M","SEIZURES WITHOUT MCC","0","\N"
"102","MDC 01","M","HEADACHES WITH MCC","0","\N"
"103","MDC 01","M","HEADACHES WITHOUT MCC","0","\N"
"113","MDC 02","P","ORBITAL PROCEDURES WITH CC/MCC","0","\N"
"114","MDC 02","P","ORBITAL PROCEDURES WITHOUT CC/MCC","0","\N"
"115","MDC 02","P","EXTRAOCULAR PROCEDURES EXCEPT ORBIT","0","\N"
"116","MDC 02","P","INTRAOCULAR PROCEDURES WITH CC/MCC","0","\N"
"117","MDC 02","P","INTRAOCULAR PROCEDURES WITHOUT CC/MCC","0","\N"
"121","MDC 02","M","ACUTE MAJOR EYE INFECTIONS WITH CC/MCC","0","\N"
