"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
042	Yes	Yes	01	SURG	"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC"	1.7277	1.7277	2.3	2.9
052	No	No	01	MED	SPINAL DISORDERS AND INJURIES WITH CC/MCC	1.7808	1.8113	4.1	5.7
053	No	No	01	MED	SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC	0.9792	0.9792	2.6	3.3
054	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS WITH MCC	1.5269	1.5269	4.0	5.7
055	Yes	No	01	MED	NERVOUS SYSTEM NEOPLASMS WITHOUT MCC	1.0196	1.0196	2.9	3.9
056	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC	2.3231	2.3231	5.7	9.1
057	Yes	No	01	MED	DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC	1.2956	1.2956	3.8	5.9
058	No	No	01	MED	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC	1.7095	1.7095	4.6	6.3
059	No	No	01	MED	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC	1.2409	1.2409	3.6	4.8
060	No	No	01	MED	MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC	0.9198	0.9198	2.9	3.6
061	No	No	01	MED	"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC"	2.7571	2.7571	4.7	6.2
062	No	No	01	MED	"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC"	1.7572	1.7572	3.0	3.6
063	No	No	01	MED	"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC"	1.4038	1.4038	2.2	2.5
064	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC	2.0110	2.0110	4.4	6.3
065	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS	1.0103	1.0103	2.8	3.6
066	Yes	No	01	MED	INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC	0.6844	0.6844	1.9	2.3
067	No	No	01	MED	PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC	1.4687	1.4687	3.4	4.7
068	No	No	01	MED	PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC	0.8644	0.8644	2.0	2.5
069	No	No	01	MED	TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC	0.7988	0.7988	2.0	2.5
070	Yes	No	01	MED	OTHER CEREBROVASCULAR DISORDERS WITH MCC	1.6648	1.6648	4.5	6.3
071	Yes	No	01	MED	OTHER CEREBROVASCULAR DISORDERS WITH CC	1.0260	1.0260	3.3	4.4
072	Yes	No	01	MED	OTHER CEREBROVASCULAR DISORDERS WITHOUT CC/MCC	0.7562	0.7562	2.3	2.9
073	No	No	01	MED	CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC	1.6043	1.6043	4.1	5.8
074	No	No	01	MED	CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC	1.0308	1.0308	2.8	3.7
075	No	No	01	MED	VIRAL MENINGITIS WITH CC/MCC	1.9175	1.9175	5.5	7.2
076	No	No	01	MED	VIRAL MENINGITIS WITHOUT CC/MCC	0.7488	0.8252	2.6	3.2
080	No	No	01	MED	NONTRAUMATIC STUPOR AND COMA WITH MCC	1.8100	1.8100	4.7	6.5
081	No	No	01	MED	NONTRAUMATIC STUPOR AND COMA WITHOUT MCC	0.8956	0.8956	2.8	3.6
