"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
255	Yes	No	05	SURG	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC	2.6974	2.6974	6.8	8.6
256	Yes	No	05	SURG	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC	1.6979	1.6979	5.0	6.1
257	Yes	No	05	SURG	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC	1.0922	1.0922	3.1	3.8
258	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC	3.1421	3.1421	5.4	7.2
259	No	No	05	SURG	CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC	2.0221	2.0221	2.4	2.8
260	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC	3.2528	3.2528	5.5	7.7
261	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC	1.8905	1.8905	2.8	3.6
262	No	No	05	SURG	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC	1.6299	1.6299	2.1	2.4
263	No	No	05	SURG	VEIN LIGATION AND STRIPPING	3.0574	3.0574	4.7	6.8
264	Yes	No	05	SURG	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES	3.3406	3.3406	6.7	9.7
265	No	No	05	SURG	AICD LEAD PROCEDURES	3.6182	3.6182	4.4	6.3
266	Yes	Yes	05	SURG	ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC	6.1284	6.1284	2.5	4.5
267	Yes	Yes	05	SURG	ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC	4.7608	4.7608	1.3	1.5
268	No	No	05	SURG	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC	6.8779	6.8779	6.1	9.2
269	No	No	05	SURG	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC	4.2232	4.2232	1.5	2.0
270	No	No	05	SURG	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC	5.2763	5.2763	6.3	9.3
271	No	No	05	SURG	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC	3.5563	3.5563	3.7	5.0
272	No	No	05	SURG	OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC	2.5530	2.5530	1.7	2.2
273	No	No	05	SURG	PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC	4.1255	4.1255	3.7	5.6
274	No	No	05	SURG	PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC	3.2917	3.2917	1.2	1.4
275	No	No	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION AND MCC	7.1304	7.1304	8.3	10.3
276	Yes	Yes	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT WITH MCC OR CAROTID SINUS NEUROSTIMULATOR	6.0066	6.0066	6.2	8.1
277	Yes	Yes	05	SURG	CARDIAC DEFIBRILLATOR IMPLANT WITHOUT MCC	4.6185	4.6185	3.3	4.1
278	No	No	05	SURG	ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITH MCC	5.5662	5.5662	7.2	10.4
279	No	No	05	SURG	ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES WITHOUT MCC	3.6064	3.6064	3.5	5.0
280	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC"	1.6041	1.6041	4.1	5.3
281	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC"	0.9191	0.9191	2.3	2.9
282	Yes	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC"	0.7231	0.7231	1.7	2.0
283	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC"	1.9808	1.9808	3.2	5.3
284	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC"	0.6922	0.6922	1.5	2.0
285	No	No	05	MED	"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC"	0.5989	0.5989	1.1	1.3
286	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC"	2.2128	2.2128	5.4	7.2
287	No	No	05	MED	"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC"	1.0701	1.0701	2.1	2.7
288	Yes	No	05	MED	ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC	2.7062	2.7062	7.5	9.7
289	Yes	No	05	MED	ACUTE AND SUBACUTE ENDOCARDITIS WITH CC	1.7069	1.7069	5.2	6.4
290	Yes	No	05	MED	ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC	0.9297	0.9297	2.9	3.5
291	Yes	No	05	MED	HEART FAILURE AND SHOCK WITH MCC	1.2838	1.2838	3.8	5.0
292	Yes	No	05	MED	HEART FAILURE AND SHOCK WITH CC	0.8490	0.8490	2.9	3.7
293	Yes	No	05	MED	HEART FAILURE AND SHOCK WITHOUT CC/MCC	0.5660	0.5660	2.1	2.5
296	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED WITH MCC"	1.5619	1.5619	2.0	3.2
297	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED WITH CC"	0.6235	0.6340	1.3	1.7
298	No	No	05	MED	"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC"	0.4551	0.4551	1.1	1.2
299	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS WITH MCC	1.6327	1.6327	3.9	5.5
300	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS WITH CC	1.0675	1.0675	3.1	3.9
301	Yes	No	05	MED	PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC	0.7197	0.7197	2.0	2.5
302	No	No	05	MED	ATHEROSCLEROSIS WITH MCC	1.1966	1.1966	2.9	4.0
303	No	No	05	MED	ATHEROSCLEROSIS WITHOUT MCC	0.6732	0.6732	1.8	2.3
304	No	No	05	MED	HYPERTENSION WITH MCC	1.1900	1.1900	3.1	4.1
305	No	No	05	MED	HYPERTENSION WITHOUT MCC	0.7551	0.7551	2.1	2.6
306	No	No	05	MED	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC	1.5758	1.5758	3.8	5.2
307	No	No	05	MED	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC	0.9132	0.9132	2.2	2.8
308	No	No	05	MED	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC	1.2040	1.2040	3.4	4.5
309	No	No	05	MED	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC	0.7357	0.7357	2.3	2.8
310	No	No	05	MED	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC	0.5661	0.5661	1.8	2.1
311	No	No	05	MED	ANGINA PECTORIS	0.7019	0.7019	1.9	2.4
312	No	No	05	MED	SYNCOPE AND COLLAPSE	0.8716	0.8716	2.4	3.1
313	No	No	05	MED	CHEST PAIN	0.7200	0.7200	1.7	2.1
314	Yes	No	05	MED	OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC	2.0852	2.0852	4.8	6.7
315	Yes	No	05	MED	OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC	0.9633	0.9633	2.6	3.4
316	Yes	No	05	MED	OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC	0.6821	0.6821	1.8	2.2
317	No	No	05	SURG	CONCOMITANT LEFT ATRIAL APPENDAGE CLOSURE AND CARDIAC ABLATION	6.6865	6.6865	5.1	7.1
318	No	No	05	SURG	PERCUTANEOUS CORONARY ATHERECTOMY WITHOUT INTRALUMINAL DEVICE	2.4222	2.4222	2.7	3.7
319	No	No	05	SURG	OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC	4.4629	4.4629	7.4	10.2
320	No	No	05	SURG	OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC	2.4053	2.4053	2.1	3.0
321	No	No	05	SURG	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITH MCC OR 4+ ARTERIES/INTRALUMINAL DEVICES	2.7208	2.7208	3.7	4.9
322	No	No	05	SURG	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH INTRALUMINAL DEVICE WITHOUT MCC	1.7630	1.7630	2.0	2.3
323	No	No	05	SURG	CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITH MCC	4.3274	4.3274	4.5	6.1
324	No	No	05	SURG	CORONARY INTRAVASCULAR LITHOTRIPSY WITH INTRALUMINAL DEVICE WITHOUT MCC	3.1510	3.1510	2.3	2.9
325	No	No	05	SURG	CORONARY INTRAVASCULAR LITHOTRIPSY WITHOUT INTRALUMINAL DEVICE	3.2104	3.2104	2.8	3.8
326	Yes	No	06	SURG	"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC"	4.9874	4.9874	8.9	12.3
327	Yes	No	06	SURG	"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC"	2.4442	2.4442	3.9	5.4
328	Yes	No	06	SURG	"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC"	1.6023	1.6023	2.0	2.5
329	Yes	No	06	SURG	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC	4.5965	4.5965	9.4	12.2
330	Yes	No	06	SURG	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC	2.3972	2.3972	4.8	6.1
331	Yes	No	06	SURG	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC	1.6829	1.6829	2.7	3.2
332	Yes	No	06	SURG	RECTAL RESECTION WITH MCC	3.6207	3.6207	6.4	8.9
333	Yes	No	06	SURG	RECTAL RESECTION WITH CC	2.3422	2.3422	3.5	4.5
334	Yes	No	06	SURG	RECTAL RESECTION WITHOUT CC/MCC	1.6379	1.6379	2.2	2.6
335	Yes	No	06	SURG	PERITONEAL ADHESIOLYSIS WITH MCC	3.5709	3.5709	8.6	10.7
336	Yes	No	06	SURG	PERITONEAL ADHESIOLYSIS WITH CC	2.1087	2.1087	5.1	6.4
337	Yes	No	06	SURG	PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC	1.5350	1.5350	3.0	3.8
344	No	No	06	SURG	MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC	2.5828	2.5828	6.9	9.2
345	No	No	06	SURG	MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC	1.5047	1.5047	4.0	5.2
346	No	No	06	SURG	MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC	1.1862	1.1862	2.6	3.1
347	No	No	06	SURG	ANAL AND STOMAL PROCEDURES WITH MCC	2.2956	2.2956	5.5	7.3
348	No	No	06	SURG	ANAL AND STOMAL PROCEDURES WITH CC	1.3088	1.3088	3.1	4.0
349	No	No	06	SURG	ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC	0.8706	0.8706	1.7	2.0
350	No	No	06	SURG	INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC	2.4919	2.4919	4.8	6.4
351	No	No	06	SURG	INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC	1.5245	1.5245	2.9	3.6
352	No	No	06	SURG	INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC	1.1678	1.1678	1.9	2.2
353	No	No	06	SURG	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC	2.9020	2.9020	5.7	7.7
354	No	No	06	SURG	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC	1.6824	1.6824	3.1	4.0
355	No	No	06	SURG	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC	1.3450	1.3450	1.8	2.2
356	Yes	No	06	SURG	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC	4.3928	4.3928	7.6	10.2
357	Yes	No	06	SURG	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC	2.3255	2.3255	4.4	5.7
358	Yes	No	06	SURG	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC	1.3979	1.3979	2.5	3.2
359	No	No	05	SURG	PERCUTANEOUS CORONARY ATHERECTOMY WITH INTRALUMINAL DEVICE WITH MCC	3.4386	3.4386	3.8	5.3
360	No	No	05	SURG	PERCUTANEOUS CORONARY ATHERECTOMY WITH INTRALUMINAL DEVICE WITHOUT MCC	2.4143	2.4143	2.2	2.6
368	No	No	06	MED	MAJOR ESOPHAGEAL DISORDERS WITH MCC	1.5919	1.5919	4.0	5.3
369	No	No	06	MED	MAJOR ESOPHAGEAL DISORDERS WITH CC	1.0002	1.0002	2.9	3.5
370	No	No	06	MED	MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC	0.7008	0.7008	2.1	2.6
371	Yes	No	06	MED	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC	1.7731	1.7731	5.2	6.9
372	Yes	No	06	MED	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC	1.0210	1.0210	3.6	4.4
373	Yes	No	06	MED	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC	0.7274	0.7274	2.7	3.3
374	Yes	No	06	MED	DIGESTIVE MALIGNANCY WITH MCC	2.1387	2.1387	5.5	7.6
375	Yes	No	06	MED	DIGESTIVE MALIGNANCY WITH CC	1.2096	1.2096	3.5	4.5
376	Yes	No	06	MED	DIGESTIVE MALIGNANCY WITHOUT CC/MCC	0.9243	0.9243	2.3	3.0
377	Yes	No	06	MED	GASTROINTESTINAL HEMORRHAGE WITH MCC	1.8280	1.8280	4.5	5.8
378	Yes	No	06	MED	GASTROINTESTINAL HEMORRHAGE WITH CC	0.9807	0.9807	2.9	3.5
379	Yes	No	06	MED	GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC	0.6304	0.6304	2.0	2.4
380	Yes	No	06	MED	COMPLICATED PEPTIC ULCER WITH MCC	1.9622	1.9622	5.1	6.7
381	Yes	No	06	MED	COMPLICATED PEPTIC ULCER WITH CC	1.0835	1.0835	3.1	3.8
382	Yes	No	06	MED	COMPLICATED PEPTIC ULCER WITHOUT CC/MCC	0.8006	0.8006	2.4	2.9
383	No	No	06	MED	UNCOMPLICATED PEPTIC ULCER WITH MCC	1.3807	1.3807	3.9	5.1
384	No	No	06	MED	UNCOMPLICATED PEPTIC ULCER WITHOUT MCC	0.8548	0.8548	2.4	3.0
385	No	No	06	MED	INFLAMMATORY BOWEL DISEASE WITH MCC	1.5823	1.5823	4.8	6.5
386	No	No	06	MED	INFLAMMATORY BOWEL DISEASE WITH CC	0.9763	0.9763	3.3	4.2
387	No	No	06	MED	INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC	0.6813	0.6813	2.5	3.1
388	Yes	No	06	MED	GASTROINTESTINAL OBSTRUCTION WITH MCC	1.4768	1.4768	4.5	6.0
389	Yes	No	06	MED	GASTROINTESTINAL OBSTRUCTION WITH CC	0.7898	0.7898	2.9	3.6
390	Yes	No	06	MED	GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC	0.5440	0.5440	2.2	2.6
391	No	No	06	MED	"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC"	1.2683	1.2683	3.8	5.1
392	No	No	06	MED	"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC"	0.7796	0.7796	2.5	3.2
393	No	No	06	MED	OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC	1.5993	1.5993	4.2	5.9
394	No	No	06	MED	OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC	0.9357	0.9357	2.9	3.7
395	No	No	06	MED	OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC	0.6490	0.6490	2.0	2.5
397	No	No	06	SURG	APPENDIX PROCEDURES WITH MCC	2.3949	2.3949	4.8	6.5
398	No	No	06	SURG	APPENDIX PROCEDURES WITH CC	1.5136	1.5136	2.9	3.8
399	No	No	06	SURG	APPENDIX PROCEDURES WITHOUT CC/MCC	1.1447	1.1447	1.8	2.2
402	No	No	08	SURG	SINGLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL	4.0205	4.0205	2.4	2.9
405	Yes	No	07	SURG	"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC"	5.4705	5.4705	8.4	11.8
406	Yes	No	07	SURG	"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC"	2.9002	2.9002	4.7	5.9
407	Yes	No	07	SURG	"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC"	2.2196	2.2196	3.2	3.9
408	No	No	07	SURG	BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC	3.5656	3.5656	7.8	10.4
409	No	No	07	SURG	BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC	2.1773	2.1773	4.3	5.4
410	No	No	07	SURG	BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC	1.5877	1.5877	2.9	3.5
411	No	No	07	SURG	CHOLECYSTECTOMY WITH C.D.E. WITH MCC	3.3033	3.3033	5.9	8.3
412	No	No	07	SURG	CHOLECYSTECTOMY WITH C.D.E. WITH CC	2.1025	2.1025	3.8	4.5
413	No	No	07	SURG	CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC	1.6605	1.6605	2.7	3.3
414	Yes	No	07	SURG	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC	3.5626	3.5626	7.3	9.4
415	Yes	No	07	SURG	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC	2.0667	2.0667	4.6	5.6
416	Yes	No	07	SURG	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC	1.3633	1.3633	2.8	3.3
417	No	No	07	SURG	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC	2.3864	2.3864	4.7	6.1
418	No	No	07	SURG	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC	1.6916	1.6916	3.2	3.9
419	No	No	07	SURG	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC	1.3658	1.3658	2.2	2.6
420	No	No	07	SURG	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC	3.4071	3.4071	6.9	9.5
421	No	No	07	SURG	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC	1.7375	1.7375	3.4	4.5
422	No	No	07	SURG	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC	1.3995	1.3995	2.3	2.9
423	No	No	07	SURG	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC	4.1530	4.1530	8.1	11.3
424	No	No	07	SURG	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC	2.1879	2.1879	4.5	5.9
425	No	No	07	SURG	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC	1.5003	1.5003	2.6	3.2
426	Yes	Yes	08	SURG	MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH MCC OR CUSTOM-MADE ANATOMICALLY DESIGNED INTERBODY FUSION DEVICE	11.0212	11.0212	7.3	9.2
427	Yes	Yes	08	SURG	MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH CC	7.2186	7.2186	4.0	4.8
428	Yes	Yes	08	SURG	MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITHOUT CC/MCC	5.6220	5.6220	2.6	3.0
429	No	No	08	SURG	COMBINED ANTERIOR AND POSTERIOR CERVICAL SPINAL FUSION WITH MCC	9.0096	9.0096	9.6	12.3
430	No	No	08	SURG	COMBINED ANTERIOR AND POSTERIOR CERVICAL SPINAL FUSION WITHOUT MCC	5.7671	5.7671	3.6	4.6
432	No	No	07	MED	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC	1.9682	1.9682	4.9	6.7
433	No	No	07	MED	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC	1.0562	1.0562	3.3	4.2
434	No	No	07	MED	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC	0.7125	0.7125	2.3	3.0
435	No	No	07	MED	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC	1.8367	1.8367	4.8	6.3
436	No	No	07	MED	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC	1.1311	1.1311	3.3	4.3
437	No	No	07	MED	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC	0.8533	0.8533	2.4	2.9
438	No	No	07	MED	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC	1.6302	1.6302	4.6	6.3
439	No	No	07	MED	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC	0.8412	0.8412	2.9	3.6
440	No	No	07	MED	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC	0.6214	0.6214	2.2	2.7
441	Yes	No	07	MED	"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC"	1.7947	1.7947	4.6	6.3
442	Yes	No	07	MED	"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC"	0.9653	0.9653	3.2	4.0
443	Yes	No	07	MED	"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC"	0.6997	0.6997	2.4	2.9
444	No	No	07	MED	DISORDERS OF THE BILIARY TRACT WITH MCC	1.6709	1.6709	4.3	5.7
445	No	No	07	MED	DISORDERS OF THE BILIARY TRACT WITH CC	1.0944	1.0944	3.0	3.7
446	No	No	07	MED	DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC	0.8273	0.8273	2.1	2.5
447	Yes	Yes	08	SURG	MULTIPLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITH MCC OR CUSTOM-MADE ANATOMICALLY DESIGNED INTERBODY FUSION DEVICE	6.6816	6.6816	7.8	9.7
448	Yes	Yes	08	SURG	MULTIPLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC	4.2408	4.2408	3.3	4.1
450	No	No	08	SURG	SINGLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITH MCC OR CUSTOM-MADE ANATOMICALLY DESIGNED INTERBODY FUSION DEVICE	5.3296	5.3296	6.3	8.1
451	No	No	08	SURG	SINGLE LEVEL SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC	3.2304	3.2304	2.4	3.1
456	No	No	08	SURG	"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH MCC"	8.4034	8.4034	9.4	11.5
457	No	No	08	SURG	"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH CC"	5.9631	5.9631	4.8	5.9
458	No	No	08	SURG	"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC"	4.1726	4.1726	2.4	2.8
461	No	No	08	SURG	BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC	5.3606	5.5230	5.9	7.6
462	No	No	08	SURG	BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC	2.6600	2.6600	2.2	2.7
463	Yes	No	08	SURG	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH MCC	5.6995	5.6995	10.6	14.3
464	Yes	No	08	SURG	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH CC	3.1147	3.1147	5.5	7.3
465	Yes	No	08	SURG	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC	1.8237	1.8237	2.1	3.0
466	Yes	No	08	SURG	REVISION OF HIP OR KNEE REPLACEMENT WITH MCC	5.2054	5.2054	7.1	9.1
467	Yes	No	08	SURG	REVISION OF HIP OR KNEE REPLACEMENT WITH CC	3.5266	3.5266	3.1	4.1
468	Yes	No	08	SURG	REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC	2.7480	2.7480	1.5	1.8
469	Yes	No	08	SURG	MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPLACEMENT	3.0332	3.0332	3.3	4.4
470	Yes	No	08	SURG	MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC	1.9289	1.9289	1.9	2.2
471	No	No	08	SURG	CERVICAL SPINAL FUSION WITH MCC	4.8287	4.8287	7.1	9.4
472	No	No	08	SURG	CERVICAL SPINAL FUSION WITH CC	2.9461	2.9461	2.5	3.5
473	No	No	08	SURG	CERVICAL SPINAL FUSION WITHOUT CC/MCC	2.4413	2.4413	1.6	2.0
474	Yes	No	08	SURG	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC	4.2929	4.2929	9.8	12.3
475	Yes	No	08	SURG	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC	2.2757	2.2757	5.9	7.3
476	Yes	No	08	SURG	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC	1.1802	1.1802	2.7	3.6
